Site Name,Geographical Region,Geographical Location,Dd,Dms,Elevation (Masl),Period_New,Site Type,Dd_ns,Dd_ew
Abri Kontija 002,Istra,Limski kanal,"45.137500, 13.718611","45°08'15.0""N 13°43'07.0""E",46,UP,RS,45.1375,13.718611
Abri Šebrn,,,"45.337712, 14.162687","45°20'15.8""N 14°09'45.7""E",750,MES,RS,45.337712,14.162687
Brjgućeva Loza 1 (Loza),Istra,Kastav,"45.467778, 14.242222","45°28'04.0""N 14°14'32.0""E",510,MES,C,45.467778,14.242222
Bukovac,,,"45.346569, 14.756238","45°20'47.7""N 14°45'22.5""E",864,UP,C,45.346569,14.756238
Campanož,,,"44.849045, 13.899990","44°50'56.6""N 13°53'60.0""E",,MP,O,44.849045,13.89999
Cerovačke pećine,Central Croatia- Lika,"Velebit, Gracac","44.274628, 15.884619","44°16'28.7""N 15°53'04.6""E",624,UP,C,44.274628,15.884619
Giljanovići (Karanušići),Dalmacija,Labin,"43.940833, 16.426389","43°56'27.0""N 16°25'35.0""E",154,MP,O,43.940833,16.426389
Glavičica,Dalmacija,Cetina,"43.749998, 16.666664","43°44'60.0""N 16°39'60.0""E",295,"UP, MES",O,43.749998,16.666664
Gospodska špilja,Dalmacija,Cetina,"43.983887, 16.436379","43°59'02.0""N 16°26'11.0""E",430,"UP, MES",C,43.983887,16.436379
Igraliste-Dolac,Dalmacija Zadar,Dugi otok,"44.142032, 14.841416","44°08'31.3""N 14°50'29.1""E",16,MP,O,44.142032,14.841416
Ivšišće,Istra,Čepić polje,"45.198816, 14.098523","45°11'55.7""N 14°05'54.7""E",,UP,O,45.198816,14.098523
Jami na sredi,,,"44.666660, 14.466665","44°39'60.0""N 14°27'60.0""E",102,MES,C,44.66666,14.466665
Kaštel Štafilić – Resnik,Dalmacija,underwater,"43.538609, 16.312500","43°32'19.0""N 16°18'45.0""E",3 m below,MP,underwater,43.538609,16.3125
